                                         ,       12 nodes  ,  20 nodes ,   30 nodes ,  40 nodes  , 50 nodes , 60 nodes
EcSimpleSet/1_B-4                        ,       4812429   ,  4182546  ,  2351149   ,  4470290   , 5231028  , 3308057
EcSimpleSet/160_B-4                      ,       3823889   ,  4899493  ,  2659287   ,  4464993   , 4134531  , 4337565
EcSimpleSet/650_B-4                      ,       4813468   ,  4606711  ,  2408021   ,  4137262   , 5960798  , 3940445
EcSimpleSet/1300_B-4                     ,       4455566   ,  3650739  ,  2743730   ,  5051901   , 5095687  , 4681275
EcSimpleGet/1_B-4                        ,       4731393   ,  5693113  ,  2628491   ,  3909477   , 5041222  , 4192345
EcSimpleGet/160_B-4                      ,       4588741   ,  4598180  ,  3040617   ,  4885456   , 4323874  , 3466476
EcSimpleGet/650_B-4                      ,       4308867   ,  5959773  ,  2964018   ,  3837178   , 5584485  , 3824834
EcSimpleGet/1300_B-4                     ,       4745947   ,  6311634  ,  2495467   ,  4162075   , 5823175  , 3744773
EcMultipleSet/9_x_1_B_=_9_B-4            ,       41560278  ,  62251445 ,  22741077  ,  54237689  , 60910052 , 48970160
EcMultipleSet/9_x_160_B_=_1440_B-4       ,       46170289  ,  60563800 ,  28819512  ,  38499740  , 35085373 , 30754690
EcMultipleSet/9_x_650_B_=_5850_B-4       ,       54850523  ,  54327993 ,  25819862  ,  44975869  , 42961966 , 40090424
EcMultipleSet/9_x_1300_B_=_11700_B-4     ,       45654634  ,  52588416 ,  30936588  ,  38499019  , 59204141 , 43142125
EcMultipleGet/3*1_B_=_3_B-4              ,       12926532  ,  14085796 ,   7106477  ,  11769679  , 15112223 , 14764526
EcMultipleGet/3*160_B_=_480_B-4          ,       15895096  ,  13388092 ,   9551781  ,  12552593  , 18577445 , 10823507
EcMultipleGet/3*650_B_=_1950_B-4         ,       13173981  ,  13394842 ,   7313236  ,  14898314  , 18412998 , 12417825
EcMultipleGet/3*1300_B_=_3900_B-4        ,       12485696  ,  13760826 ,   7125435  ,  11947908  , 11890942 , 14844017
MkSet/9_x_1_B_=_9-4                      ,        644429   ,  3159319  ,   2827968  ,   2379170  , 2340992  , 2925891
MkSet/9_x_160_B_=_1440-4                 ,        403969   ,  3939242  ,   3888249  ,   2744096  , 2771346  , 4391982
MkSet/9_x_650_B_=_5850-4                 ,        471370   ,  3036441  ,   3682075  ,   2235459  , 3327912  , 4868265
MkSet/9_x_1300_B_=_11700-4               ,        169980   ,  3175652  ,   5017799  ,   3012135  , 2651135  , 3910876
MkGet/3_x_1_B_=_3_B_-4                   ,        371032   ,  2106245  ,   2530560  ,   1685806  , 2066292  , 2220579
MkGet/3_x_160_B_=_480_B_-4               ,        136723   ,  2322214  ,   2863960  ,   2040917  , 2001304  , 2011578
MkGet/3_x_650_B_=_1950_B_-4              ,        621673   ,  2186002  ,   2381079  ,   2347929  , 1958438  , 2109895
MkGet/3_x_1300_B_=_3900_B_-4             ,        710935   ,  2571264  ,   3254866  ,   2277802  , 1960413  , 2873484
RSet/1_B-4                               ,        5135417  ,  5009370  ,   2363602  ,   4302394  , 4478300  , 3621439
RSet/160_B-4                             ,        3919503  ,  6574182  ,   2848689  ,   5632680  , 3971064  , 4569213
RSet/650_B-4                             ,        5794122  ,  5591206  ,   2445204  ,   4622668  , 3304370  , 6508839
RSet/1300_B-4                            ,        5396308  ,  5017680  ,   2662377  ,   5196104  , 3339910  , 5090506
RGet/1_B-4                               ,        1270191  ,  1898056  ,   1289093  ,   1529230  , 1738312  , 2382963
RGet/160_B-4                             ,        1625274  ,  1972741  ,   1201933  ,   1527137  , 1667563  , 2362489
RGet/650_B-4                             ,        1151789  ,  1958229  ,   1245814  ,   1561511  , 1681218  , 1910147
RGet/1300_B-4                            ,        1405786  ,  2062349  ,   1229342  ,   1778370  , 1878138  , 2321219